time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-06 00:00:00+00:00,22,12,1,1
2026-07-07 00:00:00+00:00,38,20,17,10
2026-07-08 00:00:00+00:00,14,6,3,2
2026-07-09 00:00:00+00:00,20,7,6,1
2026-07-10 00:00:00+00:00,24,7,20,19
2026-07-11 00:00:00+00:00,1,1,3,3
2026-07-12 00:00:00+00:00,16,7,0,0
2026-07-13 00:00:00+00:00,3,3,6,4
2026-07-14 00:00:00+00:00,3,2,23,17
2026-07-15 00:00:00+00:00,12,3,14,10
2026-07-16 00:00:00+00:00,10,5,8,5
2026-07-17 00:00:00+00:00,20,7,11,9
2026-07-18 00:00:00+00:00,2,2,4,4
2026-07-19 00:00:00+00:00,7,2,2,2
